city,locality,bedrooms,bathrooms,sqft_living,sqft_lot,floors,year_built,year_renovated,property_type,parking,facing,lift,furnishing,nearby_schools,nearby_hospitals,society,balcony,garden,price
Mumbai,Andheri,3,2,2128,3321,3,1963,1973,Independent House,0,North,Yes,Furnished,3,4,Andheri Heights,1,No,25921000
Delhi,Vasant Kunj,5,3,353,3018,3,2004,2013,Villa,1,South,No,Furnished,1,3,Vasant Kunj Heights,2,No,null
Pune,Viman Nagar,1,4,4692,5764,2,1960,1996,Villa,1,North,Yes,Unfurnished,3,2,Viman Nagar Heights,1,Yes,40182000
Chennai,Adyar,4,3,1632,7747,2,1976,2017,Villa,0,South,Yes,Furnished,7,3,Adyar Enclave,1,No,13501000
Mumbai,Bandra,1,3,3586,5829,1,1977,2012,Villa,1,West,No,Unfurnished,7,1,Bandra Enclave,1,Yes,43257000
Pune,Aundh,3,4,3571,6586,1,1967,1998,Independent House,0,North,Yes,Furnished,10,1,Aundh Villa,0,No,30743500
Chennai,Perambur,4,3,4832,4976,3,1964,2006,Villa,2,North,No,Semi-Furnished,2,3,Perambur Heights,2,Yes,39086000
Pune,Kothrud,3,2,1552,7728,1,2019,0,Villa,3,North,Yes,Semi-Furnished,4,1,Kothrud Heights,1,Yes,13512000
Mumbai,Borivali,1,2,1351,9188,3,1971,1986,Independent House,1,South,No,Semi-Furnished,10,5,Borivali Enclave,3,No,16427000
Mumbai,Bandra,2,1,3069,3291,3,2020,2020,Apartment,0,North,Yes,Furnished,1,0,Bandra Enclave,0,Yes,37168000
Bengaluru,MG Road,2,2,4977,9747,2,1981,2010,Independent House,1,North,Yes,Unfurnished,6,2,MG Road Villa,3,No,45063000
Mumbai,Andheri,1,4,3079,9687,1,1981,1992,Apartment,3,South,No,Furnished,4,3,Andheri Residency,0,No,37213000
Pune,Kothrud,1,1,1064,4986,1,2002,2016,Independent House,1,West,Yes,Furnished,6,0,Kothrud Villa,2,No,9274000
Bengaluru,MG Road,5,4,1568,4729,2,1977,1979,Builder Floor,2,North,Yes,Unfurnished,7,4,MG Road Residency,0,Yes,14597000
Delhi,Dwarka,5,1,2226,5583,1,2022,2022,Builder Floor,0,West,No,Semi-Furnished,3,5,Dwarka Enclave,1,No,22575000
Chennai,Velachery,3,4,2890,9099,1,1951,2008,Builder Floor,0,South,No,Furnished,5,0,Velachery Residency,2,No,23515000
Delhi,Vasant Kunj,5,3,4633,4747,3,2020,2021,Builder Floor,1,East,Yes,Furnished,8,1,Vasant Kunj Enclave,2,Yes,46910000
Bengaluru,Koramangala,3,4,2357,9823,1,1961,2014,Villa,0,North,No,Furnished,10,2,Koramangala Residency,3,No,21623000
Pune,Kothrud,1,1,1521,2161,2,2024,2025,Apartment,3,South,Yes,Semi-Furnished,5,0,Kothrud Enclave,1,Yes,13138500
Mumbai,Juhu,5,4,1566,5494,1,1972,1997,Builder Floor,1,East,No,Unfurnished,3,2,Juhu Residency,0,No,19182000
Mumbai,Borivali,2,2,4070,6984,2,1979,1992,Builder Floor,1,West,No,Semi-Furnished,1,2,Borivali Enclave,3,No,49085000
Mumbai,Andheri,3,2,2474,2837,1,2005,2015,Villa,3,North,No,Unfurnished,3,2,Andheri Heights,3,Yes,30013000
Pune,Aundh,2,3,3833,4456,3,1992,2011,Builder Floor,2,East,No,Semi-Furnished,6,5,Aundh Enclave,1,Yes,32895500
Chennai,Anna Nagar,2,3,3626,8164,1,1988,2005,Apartment,3,East,No,Semi-Furnished,7,5,Anna Nagar Residency,3,Yes,29313000
Mumbai,Juhu,5,3,1065,4963,3,1989,2002,Apartment,1,North,Yes,Furnished,7,4,Juhu Heights,3,No,13325000
Pune,Hinjewadi,4,4,3573,5621,1,1950,1962,Independent House,1,South,No,Furnished,8,1,Hinjewadi Heights,3,Yes,30880500
Chennai,Perambur,5,3,3925,8993,3,2014,2019,Independent House,1,West,No,Semi-Furnished,3,5,Perambur Enclave,3,Yes,31895000
